
Feature: cre , Entropy= 0.03569647458239714
Feature: becalm , Entropy= 0.03569647458239714
Feature: contiguity , Entropy= 0.03569647458239714
Feature: ammunition , Entropy= 0.03569647458239714
Feature: kingwood , Entropy= 0.03569647458239714
Feature: twofold , Entropy= 0.03569647458239714
Feature: comments , Entropy= 0.035634841282193824
Feature: bachelor , Entropy= 0.03569647458239714
Feature: aforementioned , Entropy= 0.03561414021831618
Feature: porcine , Entropy= 0.03569647458239714
Feature: maximal , Entropy= 0.03569647458239714
Feature: cry , Entropy= 0.03569647458239714
Feature: rows , Entropy= 0.03569647458239714
Feature: incurrence , Entropy= 0.03569647458239714
Feature: pineapple , Entropy= 0.03569647458239714
Feature: reservations , Entropy= 0.03569647458239714
Feature: quantitative , Entropy= 0.03567600787130488
Feature: impelled , Entropy= 0.03569647458239714
Feature: sketch , Entropy= 0.03569647458239714
Feature: embeddable , Entropy= 0.03569647458239714
Feature: japan , Entropy= 0.03569647458239714
Feature: cst , Entropy= 0.03569647458239714
Feature: fullness , Entropy= 0.03569647458239714
Feature: burgher , Entropy= 0.03569647458239714
Feature: defines , Entropy= 0.03567600787130488
Feature: beautiful , Entropy= 0.03569647458239714
Feature: diffusive , Entropy= 0.03569647458239714
Feature: worked , Entropy= 0.03561414021831618
Feature: eventual , Entropy= 0.03569647458239714
Feature: antonym , Entropy= 0.03569647458239714
Feature: sponsors , Entropy= 0.03569647458239714
Feature: notation , Entropy= 0.03569647458239714
Feature: ctg , Entropy= 0.03569647458239714
Feature: mccoy , Entropy= 0.03567600787130488
Feature: defined , Entropy= 0.03567600787130488
Feature: element , Entropy= 0.03569647458239714
Feature: miniaturized , Entropy= 0.03569647458239714
Feature: lumbermen , Entropy= 0.03569647458239714
Feature: picks , Entropy= 0.03569647458239714
Feature: babylonian , Entropy= 0.03569647458239714
Feature: creating , Entropy= 0.03569647458239714
Feature: vanadium , Entropy= 0.03569647458239714
Feature: cum , Entropy= 0.03569647458239714
Feature: infringe , Entropy= 0.03569647458239714
Feature: shots , Entropy= 0.03569647458239714
Feature: archery , Entropy= 0.03569647458239714
Feature: cup , Entropy= 0.03569647458239714
Feature: monitors , Entropy= 0.03569647458239714
Feature: cut , Entropy= 0.0355724995360177
Feature: relaxants , Entropy= 0.03569647458239714
Feature: shattering , Entropy= 0.03569647458239714
Feature: southernmost , Entropy= 0.03569647458239714
Feature: worrier , Entropy= 0.03569647458239714
Feature: reported , Entropy= 0.03569647458239714
Feature: distribute , Entropy= 0.035655463634421763
Feature: kitchen , Entropy= 0.03569647458239714
Feature: flashlight , Entropy= 0.03569647458239714
Feature: creation , Entropy= 0.03569647458239714
Feature: immigrants , Entropy= 0.03569647458239714
Feature: think , Entropy= 0.0352495665048329
Feature: ingredient , Entropy= 0.03569647458239714
Feature: languages , Entropy= 0.03569647458239714
Feature: accused , Entropy= 0.03569647458239714
Feature: reporter , Entropy= 0.03569647458239714
Feature: shove , Entropy= 0.03569647458239714
Feature: marketing , Entropy= 0.035359361205148904
Feature: torture , Entropy= 0.03569647458239714
Feature: dopant , Entropy= 0.03569647458239714
Feature: loincloth , Entropy= 0.03569647458239714
Feature: thing , Entropy= 0.035530536678093576
Feature: ordinal , Entropy= 0.03569647458239714
Feature: vexatious , Entropy= 0.03569647458239714
Feature: apparel , Entropy= 0.03569647458239714
Feature: domestic , Entropy= 0.03569647458239714
Feature: initiate , Entropy= 0.03569647458239714
Feature: infirmary , Entropy= 0.03569647458239714
Feature: holidays , Entropy= 0.03569647458239714
Feature: paying , Entropy= 0.035634841282193824
Feature: deception , Entropy= 0.03569647458239714
Feature: starts , Entropy= 0.03561414021831618
Feature: rotogravure , Entropy= 0.03569647458239714
Feature: stability , Entropy= 0.03569647458239714
Feature: budget , Entropy= 0.035655463634421763
Feature: lumberman , Entropy= 0.03569647458239714
Feature: actual , Entropy= 0.03555155869029283
Feature: glass , Entropy= 0.03569647458239714
Feature: homebuilder , Entropy= 0.03569647458239714
Feature: amende , Entropy= 0.03569647458239714
Feature: dunce , Entropy= 0.03569647458239714
Feature: anthropomorphism , Entropy= 0.03569647458239714
Feature: cyc , Entropy= 0.03569647458239714
Feature: technologies , Entropy= 0.03567600787130488
Feature: frailty , Entropy= 0.03569647458239714
Feature: shops , Entropy= 0.03569647458239714
Feature: assume , Entropy= 0.03555155869029283
Feature: memory , Entropy= 0.03569647458239714
Feature: farmers , Entropy= 0.03569647458239714
Feature: bashaw , Entropy= 0.03569647458239714
Feature: improvisate , Entropy= 0.03569647458239714
Feature: hitch , Entropy= 0.03569647458239714
Feature: clampdown , Entropy= 0.03569647458239714
Feature: progeny , Entropy= 0.03569647458239714
Feature: construed , Entropy= 0.03569647458239714
Feature: sachem , Entropy= 0.03569647458239714
Feature: attends , Entropy= 0.03567600787130488
Feature: offerings , Entropy= 0.03569647458239714
Feature: cannery , Entropy= 0.03569647458239714
Feature: alewife , Entropy= 0.03569647458239714
Feature: shore , Entropy= 0.03569647458239714
Feature: stopcock , Entropy= 0.03569647458239714
Feature: stylist , Entropy= 0.03569647458239714
Feature: earliest , Entropy= 0.03567600787130488
Feature: bicker , Entropy= 0.03569647458239714
Feature: lifestyle , Entropy= 0.03569647458239714
Feature: marvel , Entropy= 0.03569647458239714
Feature: short , Entropy= 0.03559335983963042
Feature: colander , Entropy= 0.03569647458239714
Feature: knapsack , Entropy= 0.03569647458239714
Feature: lubricious , Entropy= 0.03569647458239714
Feature: reducing , Entropy= 0.03569647458239714
Feature: finance , Entropy= 0.03569647458239714
Feature: ejector , Entropy= 0.03569647458239714
Feature: abreast , Entropy= 0.03569647458239714
Feature: dogmatic , Entropy= 0.03569647458239714
Feature: ledgers , Entropy= 0.03567600787130488
Feature: obstacles , Entropy= 0.03569647458239714
Feature: facade , Entropy= 0.03569647458239714
Feature: trains , Entropy= 0.03567600787130488
Feature: karate , Entropy= 0.03569647458239714
Feature: cryogenic , Entropy= 0.03569647458239714
Feature: specifically , Entropy= 0.03569647458239714
Feature: enter , Entropy= 0.03559335983963042
Feature: savings , Entropy= 0.03567600787130488
Feature: sessions , Entropy= 0.035655463634421763
Feature: goodman , Entropy= 0.03569647458239714
Feature: dates , Entropy= 0.035655463634421763
Feature: dater , Entropy= 0.03569647458239714
Feature: hostage , Entropy= 0.03569647458239714
Feature: detonate , Entropy= 0.03569647458239714
Feature: creative , Entropy= 0.03569647458239714
Feature: statesmen , Entropy= 0.03569647458239714
Feature: coast , Entropy= 0.03569647458239714
Feature: addison , Entropy= 0.03569647458239714
Feature: glans , Entropy= 0.03569647458239714
Feature: impresario , Entropy= 0.03569647458239714
Feature: redistribute , Entropy= 0.035634841282193824
Feature: bright , Entropy= 0.03569647458239714
Feature: overstated , Entropy= 0.035655463634421763
Feature: planned , Entropy= 0.035655463634421763
Feature: shamrock , Entropy= 0.03569647458239714
Feature: fetal , Entropy= 0.03569647458239714
Feature: collegian , Entropy= 0.03569647458239714
Feature: benefactor , Entropy= 0.03569647458239714
Feature: hazards , Entropy= 0.03569647458239714
Feature: assure , Entropy= 0.03569647458239714
Feature: candide , Entropy= 0.03569647458239714
Feature: holdings , Entropy= 0.03569647458239714
Feature: jackie , Entropy= 0.034929762593620226
Feature: crutch , Entropy= 0.03569647458239714
Feature: sangaree , Entropy= 0.03569647458239714
Feature: precarious , Entropy= 0.03569647458239714
Feature: capacitor , Entropy= 0.03569647458239714
Feature: downtime , Entropy= 0.03569647458239714
Feature: barely , Entropy= 0.03569647458239714
Feature: cornucopia , Entropy= 0.03569647458239714
Feature: prevalent , Entropy= 0.03569647458239714
Feature: hanging , Entropy= 0.03569647458239714
Feature: outlines , Entropy= 0.03567600787130488
Feature: oasis , Entropy= 0.0355724995360177
Feature: compact , Entropy= 0.03569647458239714
Feature: dad , Entropy= 0.03569647458239714
Feature: nitrous , Entropy= 0.03569647458239714
Feature: possession , Entropy= 0.03569647458239714
Feature: medusa , Entropy= 0.03569647458239714
Feature: dan , Entropy= 0.03561414021831618
Feature: disconnected , Entropy= 0.035655463634421763
Feature: shows , Entropy= 0.035530536678093576
Feature: shown , Entropy= 0.03567600787130488
Feature: dar , Entropy= 0.03569647458239714
Feature: dat , Entropy= 0.03567600787130488
Feature: jordan , Entropy= 0.03569647458239714
Feature: showy , Entropy= 0.03569647458239714
Feature: pointing , Entropy= 0.03569647458239714
Feature: day , Entropy= 0.03461490737187191
Feature: artwork , Entropy= 0.03569647458239714
Feature: horoscope , Entropy= 0.03569647458239714
Feature: loudspeaker , Entropy= 0.03569647458239714
Feature: channeled , Entropy= 0.03569647458239714
Feature: deceptive , Entropy= 0.03569647458239714
Feature: critical , Entropy= 0.035634841282193824
Feature: countess , Entropy= 0.03569647458239714
Feature: foursquare , Entropy= 0.03569647458239714
Feature: judiciary , Entropy= 0.03569647458239714
Feature: obeisant , Entropy= 0.03569647458239714
Feature: guarded , Entropy= 0.03569647458239714
Feature: declining , Entropy= 0.03569647458239714
Feature: equitable , Entropy= 0.03569647458239714
Feature: saskatchewan , Entropy= 0.03569647458239714
Feature: dated , Entropy= 0.03569647458239714
Feature: exotic , Entropy= 0.03569647458239714
Feature: sprains , Entropy= 0.03569647458239714
Feature: introduction , Entropy= 0.03569647458239714
Feature: annals , Entropy= 0.03569647458239714
Feature: revenge , Entropy= 0.03569647458239714
Feature: utopia , Entropy= 0.03569647458239714
Feature: intemperance , Entropy= 0.03569647458239714
Feature: eocene , Entropy= 0.03569647458239714
